Subject,Supra_Marginal_B,Basal_Ganglia_B,Middle_Frontal_L,Thalamus_B,Superior_Temporal_B,Precentral_B
1,0.575,0.17,0.457,0.189,0.442,0.968
2,NaN,2.88,3.516,4.57,NaN,1.594
3,-0.138,-0.268,0.5,0.96,0.857,0.505
4,-0.062,-1.454,-5.752,2.556,NaN,1.754
5,1.086,1.33,0.718,1.099,6.756,NaN
6,0.292,1.139,-0.731,-1.217,-1.852,0.991
7,1.048,0.722,0.432,1.752,7.832,5.316
8,7.033,1.863,3.421,7.678,-1.474,1.769
9,2.302,-0.578,1.034,0.934,1.107,-0.927
10,0.886,1.234,0.479,NaN,1.362,-0.018
11,1.18,0.055,0.42,0.384,NaN,NaN
12,-0.069,-0.301,-0.521,NaN,0.931,-0.009
13,0.464,3.52,2.422,2.275,1.291,1.234
14,1.113,1.122,1.611,1.288,-3.916,8.785
15,0.853,0.111,-0.553,0.788,0.371,-0.121
16,0.929,1.226,3.228,0.72,1.746,1.917
17,0.632,0.308,-0.707,4.114,2.379,1.428
18,1.694,NaN,1.071,-8.341,-4.987,3.178
19,0.453,0.539,0.356,0.937,0.377,0.465
20,0.852,0.671,1.928,NaN,NaN,7.096
21,7.048,2.006,1.679,-0.405,8.35,NaN
22,3.124,-7.572,NaN,NaN,3.869,NaN
23,0.759,0.731,0.919,1.06,1.008,1.082
24,NaN,5.761,2.458,2.539,4.509,1.313
25,1.327,9.722,2.509,-2.917,5.189,4.232
26,1.051,0.627,0.327,0.522,1.323,1.022
27,0.791,1.69,0.582,3.937,-1.074,0.708
28,1.318,3.803,1.673,0.757,2.272,5.046
29,1.507,1.263,1.098,3.443,2.562,2.060
30,0.792,-0.108,0.468,7.79,1.086,0.219
31,-0.153,-0.2,0.15,0.143,-0.162,-0.024
32,1.213,1.251,-9.184,0.92,2.514,8.926
33,2.413,-6.519,0.685,-1.782,0.546,-1.981
34,1.572,1.951,6.66,-0.49,-0.879,0.294
35,1.663,2.469,1.978,3.75,3.89,2.966
36,NaN,9.028,8.789,-1.951,-1.907,2.381
37,0.161,0.721,0.375,0.285,-2.669,-0.731
38,-0.455,0.438,-0.259,0.789,-1.64,0.389
39,0.737,0.578,0.477,1.162,7.044,1.898
40,0.251,2.079,0.668,5.787,-0.11,0.045
41,NaN,2.886,5.364,-4.557,NaN,3.528
42,0.544,0.261,0.481,-0.618,-0.012,0.095
43,1.304,0.524,8.308,0.521,1.53,1.068
44,2.463,3.373,2.952,NaN,3.721,0.767
45,1.063,2.122,6.586,1.051,0.27,0.970
46,0.817,0.47,0.409,1.7,NaN, 